Gene	Non-unique Gene name	Annotation
saeS		Histidine protein kinase SaeS
group_1895		hypothetical protein
group_1934		hypothetical protein
group_1936		hypothetical protein
ykoD_2		Putative HMP/thiamine import ATP-binding protein YkoD
norG		HTH-type transcriptional regulator NorG
group_2510		hypothetical protein
trmL		tRNA (cytidine(34)-2'-O)-methyltransferase
eamA		putative amino-acid metabolite efflux pump
melR_1		Melibiose operon regulatory protein
group_3309		hypothetical protein
group_3310		hypothetical protein
group_3437		hypothetical protein
group_3750		hypothetical protein
group_4103		hypothetical protein
group_453		hypothetical protein
group_892		hypothetical protein
group_1188		hypothetical protein
chp		Chemotaxis inhibitory protein
clpP_2		ATP-dependent Clp protease proteolytic subunit
group_2727		hypothetical protein
mro		Aldose 1-epimerase
group_3478		hypothetical protein
group_3624		hypothetical protein
group_3625		hypothetical protein
group_4102		hypothetical protein
pcp		Pyrrolidone-carboxylate peptidase
speC_1		Exotoxin type C
sucD		Succinate--CoA ligase [ADP-forming] subunit alpha
group_197		65 kDa membrane protein
group_2182		hypothetical protein
esxC		ESAT-6 secretion system extracellular protein C
skfC		hypothetical protein
group_3619		hypothetical protein
sdrM		Multidrug efflux pump SdrM
essC		ESAT-6 secretion machinery protein EssC
esxB		ESAT-6 secretion system extracellular protein B
group_3656		hypothetical protein
esxD		ESAT-6 secretion system extracellular protein D
group_4240		hypothetical protein
fosB		Metallothiol transferase FosB
xerD_2		Tyrosine recombinase XerD
group_488		hypothetical protein
group_617		hypothetical protein
ssp		Extracellular matrix protein-binding protein emp
group_2726		hypothetical protein
group_3596		hypothetical protein
group_384		hypothetical protein
group_739		hypothetical protein
essD		ESAT-6 secretion machinery protein EssD
fruA_2		PTS system fructose-specific EIIABC component
group_987		hypothetical protein
splC		Serine protease SplC
lukDv		Leucotoxin LukDv
nhoA		N-hydroxyarylamine O-acetyltransferase
yraA		Putative cysteine protease YraA
lukEv		Leucotoxin LukEv
cadC		Cadmium resistance transcriptional regulatory protein CadC
group_4101		hypothetical protein
leuA_1		2-isopropylmalate synthase
group_606		hypothetical protein
paiA		Spermidine/spermine N(1)-acetyltransferase
ptsG_3		PTS system glucose-specific EIICBA component
zipA		hypothetical protein
opuBA		Choline transport ATP-binding protein OpuBA
group_2868		hypothetical protein
group_4150		hypothetical protein
traP		Signal transduction protein TRAP
tst		Toxic shock syndrome toxin-1
group_2004	ywqD_2	Tyrosine-protein kinase YwqD
immR		HTH-type transcriptional regulator ImmR
group_2191		hypothetical protein
gsiB		Glutathione-binding protein GsiB
sigS		RNA polymerase sigma factor SigS
isaB		Immunodominant staphylococcal antigen B
group_6077		tRNA-Ala(tgc)
splA		Serine protease SplA
group_1254		hypothetical protein
group_1367		hypothetical protein
hly		Alpha-hemolysin
group_1948		hypothetical protein
group_1974		hypothetical protein
group_2183		hypothetical protein
group_2694		hypothetical protein
group_2746		N-acetylmuramoyl-L-alanine amidase domain-containing protein
group_432		hypothetical protein
group_2167		hypothetical protein
ssuB		Aliphatic sulfonates import ATP-binding protein SsuB
group_4260		hypothetical protein
group_1217		hypothetical protein
group_1222		putative leukocidin-like protein 1
group_165	ebh_1	Extracellular matrix-binding protein ebh
recD		RecBCD enzyme subunit RecD
mrpG		Na( )/H( ) antiporter subunit G
group_2508		hypothetical protein
group_2934		hypothetical protein
group_3376		hypothetical protein
splF		Serine protease SplF
group_1082		hypothetical protein
group_1094		hypothetical protein
group_3637		hypothetical protein
sarT		HTH-type transcriptional regulator SarT
spa		Immunoglobulin G-binding protein A
hsdM_1		Type I restriction enzyme EcoKI M protein
mrpB		Na( )/H( ) antiporter subunit B
group_730		hypothetical protein
yezG_2		putative antitoxin YezG
group_1990		hypothetical protein
speH		Exotoxin type H
ricR_1		Copper-sensing transcriptional repressor RicR
group_4239		hypothetical protein
group_4250		hypothetical protein
group_4706	glpE_1	Thiosulfate sulfurtransferase GlpE
mnhD1_1		Na( )/H( ) antiporter subunit D1
sarU		HTH-type transcriptional regulator SarU
blaI		Penicillinase repressor
group_4285		hypothetical protein
group_4300		hypothetical protein
rnr		Ribonuclease R
blaR1		Regulatory protein BlaR1
salA		Iron-sulfur cluster carrier protein
group_3305		hypothetical protein
moaC		Cyclic pyranopterin monophosphate synthase
group_425		hypothetical protein
group_1209		hypothetical protein
group_1382		hypothetical protein
group_1944		hypothetical protein
group_2460		hypothetical protein
splB		Serine protease SplB
pglF		UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
group_1679		hypothetical protein
group_215		hypothetical protein
opuD_2		Glycine betaine transporter OpuD
gloC_2		Hydroxyacylglutathione hydrolase GloC
group_3154		hypothetical protein
group_2251		hypothetical protein
group_2568		hypothetical protein
group_2602		hypothetical protein
group_285		hypothetical protein
group_3390		hypothetical protein
group_3635		hypothetical protein
group_4109		hypothetical protein
group_4137		hypothetical protein
vatD		Streptogramin A acetyltransferase
group_543		hypothetical protein
lpl2_4		putative lipoprotein
group_983	pglF	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
clfB		Clumping factor B
arcB_2		Ornithine carbamoyltransferase, catabolic
group_1703		hypothetical protein
flr		FPRL1 inhibitory protein
scn_2		Staphylococcal complement inhibitor
fnbA_2		Fibronectin-binding protein A
tcaA		Membrane-associated protein TcaA
group_153		hypothetical protein
group_2104		hypothetical protein
group_2190		putative lipoprotein
group_2243		hypothetical protein
group_2762		hypothetical protein
group_459		hypothetical protein
group_472		hypothetical protein
group_105		hypothetical protein
lpl2_5		putative lipoprotein
nikE		Nickel import ATP-binding protein NikE
group_2935		hypothetical protein
group_4616		hypothetical protein
mhqD		Putative hydrolase MhqD
group_1827		hypothetical protein
desK		Sensor histidine kinase DesK
group_2917		hypothetical protein
group_4270		hypothetical protein
agrB		Accessory gene regulator protein B
group_205		putative lipoprotein
group_381		hypothetical protein
group_498		hypothetical protein
group_547		Putative NAD(P)H nitroreductase
fic		Adenosine monophosphate-protein transferase SoFic
group_1709		putative lipoprotein
group_2193		hypothetical protein
group_2197		hypothetical protein
mccB		Cystathionine gamma-lyase
lpl2_2		putative lipoprotein
group_13		hypothetical protein
group_3325		hypothetical protein
group_1122		putative lipoprotein
sarX		HTH-type transcriptional regulator SarX
entG		Enterotoxin type G
sasG		Putative surface protein
group_188		hypothetical protein
yezG_10		putative antitoxin YezG
group_3425		hypothetical protein
group_457		hypothetical protein
hsdM_2		putative type I restriction enzymeP M protein
group_948		hypothetical protein
group_1104		hypothetical protein
group_1305		hypothetical protein
bceB_2		Bacitracin export permease protein BceB
group_2168		hypothetical protein
cysJ		Sulfite reductase [NADPH] flavoprotein alpha-component
plc		1-phosphatidylinositol phosphodiesterase
group_836		hypothetical protein
group_2258		putative lipoprotein
group_4139		hypothetical protein
group_628		hypothetical protein
fccB		Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain
ywqN_1		Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN
entA_3		Enterotoxin type A
group_2224		hypothetical protein
group_2522		hypothetical protein
group_3397		hypothetical protein
pbp		Beta-lactam-inducible penicillin-binding protein
ggt		Gamma-glutamyltranspeptidase
group_4179		hypothetical protein
ugpQ_1		Glycerophosphodiester phosphodiesterase, cytoplasmic
paaZ		Bifunctional protein PaaZ
group_544		hypothetical protein
group_646	speC_1	Exotoxin type C
group_1295	tcaA	Membrane-associated protein TcaA
entD_1		Enterotoxin type D
group_1659		putative lipoprotein
ebh_3		Extracellular matrix-binding protein ebh
group_1697		hypothetical protein
group_1803		hypothetical protein
group_3319		hypothetical protein
group_3726		hypothetical protein
hin_4		DNA-invertase hin
group_971		hypothetical protein
mta		HTH-type transcriptional activator mta
group_1080		hypothetical protein
ssbA_2		Single-stranded DNA-binding protein A
entB		Enterotoxin type B
group_2513		hypothetical protein
group_2518		hypothetical protein
group_303		hypothetical protein
tagE_3		Poly(glycerol-phosphate) alpha-glucosyltransferase
group_408	ggt	Gamma-glutamyltranspeptidase
group_439		hypothetical protein
group_60		hypothetical protein
group_1		hypothetical protein
group_1064	mta	HTH-type transcriptional activator mta
group_1126		hypothetical protein
group_1415		hypothetical protein
group_1753		hypothetical protein
group_19		hypothetical protein
group_2189		hypothetical protein
group_2282		hypothetical protein
group_2283		hypothetical protein
group_2313		hypothetical protein
group_2325		hypothetical protein
splE		Serine protease SplE
group_284		hypothetical protein
group_2978		hypothetical protein
group_2979		hypothetical protein
group_3733		hypothetical protein
group_3734		hypothetical protein
group_4470		hypothetical protein
group_4471		hypothetical protein
group_568		hypothetical protein
group_674		hypothetical protein
group_1136		hypothetical protein
group_2278		hypothetical protein
group_273	lytN_3	putative cell wall hydrolase LytN
entA_2		Enterotoxin type A
group_3224		hypothetical protein
group_353		hypothetical protein
group_3848		hypothetical protein
group_446		Staphylocoagulase
group_623		hypothetical protein
group_893		hypothetical protein
group_916		hypothetical protein
group_1862		hypothetical protein
hin_1		DNA-invertase hin
fhuD_1		Iron(3 )-hydroxamate-binding protein FhuD
group_3856		hypothetical protein
group_524		hypothetical protein
entS		putative multidrug-efflux transporter
group_769		hypothetical protein
yezG_5		putative antitoxin YezG
group_135		hypothetical protein
group_1621	bceB_2	Bacitracin export permease protein BceB
hin_2		DNA-invertase hin
group_1854		hypothetical protein
group_2737	cysJ	Sulfite reductase [NADPH] flavoprotein alpha-component
group_473		hypothetical protein
group_512		hypothetical protein
group_610		Putative metallophosphoesterase MG207 
group_73		putative lipoprotein
clfA		Clumping factor A
group_1170		hypothetical protein
group_1427		hypothetical protein
group_155		hypothetical protein
group_2330		hypothetical protein
group_239		hypothetical protein
group_3321		hypothetical protein
dnaQ		DNA polymerase III subunit epsilon
splD		Serine protease SplD
group_582	smc_2	Chromosome partition protein Smc
group_598	atl_1	Bifunctional autolysin
group_727		hypothetical protein
group_1267		hypothetical protein
emp		hypothetical protein
group_1768		hypothetical protein
group_1770		hypothetical protein
group_2049		hypothetical protein
group_2295		hypothetical protein
group_2305		hypothetical protein
group_2987		hypothetical protein
group_2990		hypothetical protein
group_2996		hypothetical protein
group_2997		hypothetical protein
group_300	melR_2	hypothetical protein
group_3032		hypothetical protein
group_3318		hypothetical protein
group_3774		hypothetical protein
group_3776		hypothetical protein
group_3778		hypothetical protein
polA_1		DNA polymerase I, thermostable
group_383		hypothetical protein
group_4112	lexA_2	LexA repressor
group_4642		hypothetical protein
group_4644		hypothetical protein
group_4646		hypothetical protein
group_4648		hypothetical protein
group_4650		hypothetical protein
group_570		hypothetical protein
group_781		hypothetical protein
group_2528		hypothetical protein
group_2543	mccB	Cystathionine gamma-lyase
group_2998		hypothetical protein
group_3320		hypothetical protein
group_3758		hypothetical protein
group_3772		hypothetical protein
group_465		hypothetical protein
group_4711		hypothetical protein
group_77		putative lipoprotein
group_822		hypothetical protein
group_108		hypothetical protein
group_1109		hypothetical protein
group_1776		hypothetical protein
group_217		hypothetical protein
emp_2		Extracellular matrix protein-binding protein emp
Int-Tn_3		Transposase from transposon Tn916
group_2299		hypothetical protein
group_2310		hypothetical protein
ydhC		Inner membrane transport protein YdhC
zitR		Transcriptional regulator ZitR
group_2993		hypothetical protein
group_2995		hypothetical protein
xerD_1		Tyrosine recombinase XerD
group_3783		hypothetical protein
ohrR		Organic hydroperoxide resistance transcriptional regulator
acuI		putative acrylyl-CoA reductase AcuI
lss		Glycyl-glycine endopeptidase ALE-1
group_1172		hypothetical protein
group_1177	sarX	HTH-type transcriptional regulator SarX
dnaC_2		DNA replication protein DnaC
group_2302		hypothetical protein
group_2374		hypothetical protein
group_2703		hypothetical protein
group_4111		hypothetical protein
yezG_1		putative antitoxin YezG
group_4916		hypothetical protein
group_546		Putative NAD(P)H nitroreductase
group_837		hypothetical protein
group_3018		hypothetical protein
group_3173		hypothetical protein
group_3311		hypothetical protein
group_3544		hypothetical protein
group_3826		hypothetical protein
group_3864		hypothetical protein
group_389		hypothetical protein
group_414		hypothetical protein
gloB_2		Hydroxyacylglutathione hydrolase
group_594		hypothetical protein
group_683		hypothetical protein
group_713	mhqD	Putative hydrolase MhqD
yezG_4		putative antitoxin YezG
group_1413	lpl2_5	putative lipoprotein
group_1419		hypothetical protein
group_1780		hypothetical protein
group_2172		hypothetical protein
group_2239		hypothetical protein
group_3851		hypothetical protein
group_4024		hypothetical protein
dut		Deoxyuridine 5'-triphosphate nucleotidohydrolase
arsC		Glutaredoxin arsenate reductase
group_8		hypothetical protein
group_872		putative lipoprotein
group_132		hypothetical protein
group_1363		hypothetical protein
group_1426		hypothetical protein
group_1463		hypothetical protein
group_1624	arcB_2	Ornithine carbamoyltransferase, catabolic
group_1799		hypothetical protein
group_3829		hypothetical protein
group_7		hypothetical protein
group_906		hypothetical protein
group_1430		hypothetical protein
group_1684		hypothetical protein
sdrD		Serine-aspartate repeat-containing protein D
group_2316		hypothetical protein
group_282		hypothetical protein
clpP1		ATP-dependent Clp protease proteolytic subunit 1
group_380		hypothetical protein
group_4653		hypothetical protein
group_639		hypothetical protein
group_76		putative lipoprotein
group_1037		hypothetical protein
group_1306		hypothetical protein
group_1785		hypothetical protein
group_2156	opuD_2	Glycine betaine transporter OpuD
group_2973		hypothetical protein
group_2974		hypothetical protein
hsdR_1		hypothetical protein
maa_1		Maltose O-acetyltransferase
group_542		hypothetical protein
group_680		hypothetical protein
radD		Putative DNA repair helicase RadD
group_81		putative lipoprotein
group_1092		hypothetical protein
group_1125		putative lipoprotein
gltR		HTH-type transcriptional regulator GltR
group_2311		hypothetical protein
group_2459		hypothetical protein
yezG_8		putative antitoxin YezG
group_3603		hypothetical protein
group_3748		hypothetical protein
group_3749		hypothetical protein
group_397	yezG_2	putative antitoxin YezG
ebhA		Extracellular matrix-binding protein ebh
hin_3		DNA-invertase hin
group_709	plc	1-phosphatidylinositol phosphodiesterase
group_927		hypothetical protein
group_109		hypothetical protein
group_1096		hypothetical protein
group_154		hypothetical protein
dus_1		putative tRNA-dihydrouridine synthase
group_2176		hypothetical protein
mecR1		Methicillin resistance mecR1 protein
group_2864	salA	Iron-sulfur cluster carrier protein
group_3615		hypothetical protein
group_3760		Staphylocoagulase
group_778	rnr	Ribonuclease R
group_895		hypothetical protein
nisB		Nisin biosynthesis protein NisB
group_1761		hypothetical protein
group_1764		hypothetical protein
sdrC		Serine-aspartate repeat-containing protein C
group_2729		hypothetical protein
group_3736		hypothetical protein
mvaS_2		hypothetical protein
yofA		HTH-type transcriptional regulator YofA
nisC		Nisin biosynthesis protein NisC
group_4889		hypothetical protein
group_4931		hypothetical protein
group_4941		hypothetical protein
group_4942		hypothetical protein
yxlF_2		putative ABC transporter ATP-binding protein YxlF
